Recovery_Debt_Score,Days_Until_Due,Task_Priority_Weight,Is_Fixed_Time,Is_Recovery_Activity,Duration_Minutes,Label,_Category_ID_debug
5,6,3,1,0,90,1,1
53,3,1,1,0,60,1,4
3,3,3,1,0,90,1,1
53,7,3,0,0,120,1,0
92,13,1,0,0,120,0,4
62,7,2,1,0,120,1,0
17,1,2,1,0,180,1,1
89,13,1,0,0,30,0,2
43,1,1,0,1,90,1,3
33,2,2,0,0,60,1,0
73,14,3,1,0,120,1,1
61,11,1,0,0,90,0,4
99,11,2,0,0,120,0,0
13,2,3,0,0,120,1,0
94,0,1,0,1,60,1,3
47,14,3,1,0,180,1,1
14,13,1,0,0,30,1,2
71,2,2,0,0,180,1,4
77,5,3,1,0,90,1,1
86,7,1,0,0,180,0,4
61,12,2,0,0,90,1,0
39,11,1,0,1,90,1,3
84,13,1,0,1,30,1,3
79,9,2,0,0,60,1,2
81,5,1,0,1,30,1,3
52,4,2,0,0,180,1,0
23,14,1,0,0,90,1,2
25,3,2,1,0,120,1,1
88,2,1,0,1,120,1,3
59,12,1,0,0,90,1,2
40,3,3,0,0,30,1,0
28,13,1,0,0,60,1,4
14,6,2,0,0,30,1,4
44,0,3,0,0,90,1,0
64,6,2,1,0,90,1,0
88,0,2,0,0,60,1,4
70,1,3,1,0,180,1,2
8,14,2,0,0,180,1,4
87,3,3,0,0,60,0,0
0,0,1,0,1,180,1,3
7,10,3,1,0,120,1,1
87,11,1,0,1,180,1,3
62,10,3,0,1,180,1,3
10,14,3,0,0,180,1,0
80,10,2,0,0,120,1,4
7,8,2,0,0,180,1,2
34,11,1,0,1,120,1,3
34,5,2,0,0,60,1,4
32,12,2,0,0,30,1,2
4,0,3,0,1,60,1,3
40,0,1,0,0,30,1,2
27,5,3,0,0,60,1,4
6,3,2,1,0,30,1,1
72,3,2,0,0,30,1,4
71,14,3,0,0,90,1,0
11,10,1,0,0,30,1,2
33,14,1,1,0,30,1,1
32,5,1,0,0,90,1,2
47,14,1,0,0,180,1,2
22,13,1,0,1,180,1,3
61,11,3,1,0,90,1,0
87,10,3,0,0,120,0,2
36,6,2,1,0,30,1,4
98,8,2,1,0,30,1,4
43,9,1,0,1,90,1,3
85,4,1,0,0,90,0,0
90,8,3,0,0,120,0,0
34,3,2,0,0,180,1,4
64,12,3,1,0,60,1,1
98,9,1,0,1,180,1,3
100,1,1,0,1,30,1,3
46,2,1,0,0,90,1,4
77,12,1,0,0,120,0,4
2,10,1,1,0,180,1,1
0,0,1,1,0,120,1,1
4,13,2,0,0,180,1,0
89,13,1,0,1,30,1,3
13,5,3,0,1,60,1,3
26,12,2,1,0,120,1,4
8,5,2,0,0,120,1,0
78,0,1,0,1,60,1,3
14,10,3,0,0,120,1,0
89,12,1,0,0,120,0,0
41,2,3,0,0,180,1,4
76,4,3,0,0,180,1,0
50,2,2,1,0,60,1,1
62,9,2,1,0,30,1,1
95,2,1,0,0,120,0,2
51,13,2,0,0,30,1,4
95,9,1,0,0,60,0,2
3,2,2,1,0,60,1,1
93,4,1,0,0,180,0,2
100,12,2,0,0,120,0,4
22,4,2,0,0,90,1,4
14,3,2,0,0,60,1,0
42,0,2,0,1,120,1,3
28,4,3,0,0,30,1,0
35,9,3,0,0,180,1,4
12,4,1,1,0,30,1,1
31,3,3,1,0,60,1,1
70,5,3,1,0,60,1,0
58,9,1,0,0,30,1,4
85,3,3,1,0,60,1,1
27,13,2,0,0,120,1,4
65,6,3,0,0,60,1,1
41,6,1,0,0,180,1,4
44,1,2,0,0,120,1,2
61,2,2,0,0,90,1,4
56,0,3,0,0,60,1,4
5,7,2,0,0,60,1,0
27,8,3,0,0,180,1,2
27,3,3,1,1,180,1,3
43,5,2,0,0,30,1,0
83,8,2,0,1,30,1,3
29,5,3,1,0,30,1,1
61,13,1,1,1,180,1,3
74,11,2,0,0,30,1,4
91,11,1,0,1,30,1,3
88,11,2,1,0,90,1,0
61,8,1,0,0,30,0,0
96,14,1,1,1,60,1,3
0,3,2,1,0,180,1,0
26,7,3,0,0,120,1,0
61,8,1,0,1,90,0,3
76,3,2,0,0,180,1,2
2,4,2,0,0,180,1,2
69,13,1,1,0,60,1,1
71,7,3,0,0,30,1,0
26,11,2,0,1,60,1,3
8,9,3,0,0,30,1,0
61,13,1,0,0,30,0,4
36,5,2,0,0,180,1,0
96,11,3,0,0,30,0,0
50,6,3,0,0,90,1,2
43,2,2,0,1,90,1,3
23,6,3,0,0,90,1,0
78,11,1,0,0,180,0,2
58,13,2,1,0,60,1,1
31,7,1,0,0,120,1,2
95,9,1,0,0,30,0,2
87,5,2,0,0,120,0,2
51,14,2,1,0,60,1,0
61,9,3,0,0,60,1,0
57,8,3,1,0,180,1,1
51,12,1,0,0,90,1,4
11,5,3,0,0,90,1,4
38,11,3,1,0,60,1,4
1,8,2,1,0,180,1,1
2,12,1,0,0,180,1,4
100,3,2,0,0,30,0,4
55,7,1,0,0,90,1,2
80,10,2,0,0,60,1,0
58,3,2,0,0,120,1,0
1,1,3,0,0,90,1,2
1,9,1,0,0,30,1,2
91,10,2,0,0,180,0,2
53,8,1,0,0,60,1,0
86,4,2,0,0,90,0,4
100,3,3,0,0,120,0,2
95,1,2,1,0,30,1,1
96,0,1,1,0,30,1,2
0,10,2,0,1,90,1,3
18,6,2,0,0,120,1,2
1,5,3,0,0,30,1,0
52,14,1,0,0,60,1,2
43,14,1,0,1,30,1,3
89,1,3,1,0,120,1,1
31,7,3,0,0,180,1,4
69,10,1,0,0,180,0,2
31,3,2,0,1,90,1,3
67,7,1,0,1,120,0,3
54,14,2,1,0,30,1,1
74,6,2,1,0,30,1,0
55,4,1,1,0,180,1,2
16,9,1,0,1,180,1,3
37,9,1,1,0,60,1,1
23,11,2,0,0,180,1,4
68,7,2,0,1,60,1,3
97,13,3,1,0,30,1,1
69,8,3,0,0,60,1,0
85,4,3,0,0,60,0,0
10,9,1,1,1,90,1,3
15,4,1,0,1,180,1,3
96,1,2,0,0,60,1,2
72,4,2,1,0,30,1,1
58,2,1,0,1,120,1,3
69,6,1,0,0,60,0,2
79,9,2,0,0,180,0,2
92,4,1,0,1,90,1,3
2,7,3,0,0,30,1,0
19,0,2,1,0,90,1,1
58,2,3,1,0,120,1,1
35,2,3,0,0,60,1,0
18,8,2,0,1,60,1,3
89,4,2,1,0,180,1,1
66,11,1,0,1,60,0,3
18,8,2,0,1,30,1,3
19,12,1,0,0,120,1,2
95,8,2,0,0,90,0,0
70,0,1,0,1,120,1,3
51,1,3,0,0,60,1,4
32,4,1,0,0,90,1,0
39,3,3,1,0,180,1,1
38,14,1,0,0,120,1,2
81,9,2,1,0,90,1,1
0,8,3,1,0,90,1,1
10,6,1,0,0,90,1,0
91,5,2,1,0,30,1,1
56,6,2,0,1,120,1,3
88,0,3,1,0,90,1,1
49,0,1,0,0,120,1,2
22,7,2,0,0,90,1,2
30,12,2,0,0,180,1,4
93,12,2,0,0,180,0,2
41,1,2,1,0,180,1,1
98,11,1,0,0,60,0,2
6,9,3,1,0,90,1,0
15,10,2,0,0,60,1,2
89,8,1,0,1,120,1,3
59,6,2,0,0,60,1,0
1,5,2,0,0,120,1,4
0,0,1,0,1,120,1,3
47,0,2,1,0,120,1,1
11,1,2,1,0,60,1,1
68,5,3,1,0,90,1,1
36,13,1,0,1,60,1,3
31,5,2,0,1,90,1,3
8,1,1,0,1,90,1,3
98,0,2,0,0,120,0,0
18,9,1,0,0,60,1,0
47,4,2,1,0,90,1,1
79,4,2,0,0,180,0,2
2,1,3,1,0,90,1,1
19,5,1,0,0,180,1,4
23,8,3,0,0,60,1,0
53,1,1,0,1,60,1,3
32,9,3,0,0,60,1,0
23,1,2,1,1,90,1,3
74,2,2,0,0,30,1,4
71,12,2,0,0,90,1,4
35,6,3,0,0,90,1,0
37,5,1,0,1,120,1,3
83,11,2,0,0,120,0,4
98,7,3,1,0,90,1,1
88,14,3,1,0,180,1,1
98,7,1,0,1,120,1,3
24,5,3,0,0,90,1,0
92,11,2,0,0,30,0,4
17,10,3,1,0,180,1,0
81,9,3,1,0,60,1,1
65,2,2,0,0,90,1,4
53,2,3,0,0,90,1,0
34,14,2,0,0,180,1,2
79,0,1,0,1,120,1,3
60,6,1,0,1,120,1,3
40,4,1,0,0,120,1,2
99,3,3,1,0,60,1,1
32,9,1,0,0,180,1,4
67,14,2,1,1,180,1,3
32,3,2,0,0,120,1,2
13,13,1,0,0,120,1,2
20,3,3,1,0,30,1,1
47,5,3,1,0,30,1,1
19,14,2,0,0,90,1,0
7,7,1,1,1,90,1,3
6,7,3,0,0,180,1,0
66,4,3,0,0,180,1,2
16,14,1,1,0,60,1,4
32,5,1,0,0,60,1,4
47,3,2,1,0,30,1,1
75,11,3,0,0,90,1,4
58,13,1,0,0,30,1,4
85,10,2,1,0,30,1,4
21,12,2,1,0,90,1,2
29,8,1,0,0,60,1,4
37,7,2,1,0,90,1,4
50,9,1,0,0,120,1,4
53,11,3,0,0,120,1,0
7,9,1,0,0,120,1,2
26,0,3,1,0,180,1,1
26,14,3,0,0,60,1,0
97,1,1,0,1,60,1,3
20,8,1,0,0,180,1,2
29,7,1,0,0,30,1,2
96,13,1,0,1,120,1,3
27,2,2,0,1,120,1,3
63,7,2,0,1,30,1,3
96,11,2,1,0,90,1,1
68,0,2,0,0,90,1,4
60,9,2,0,0,60,1,2
47,3,3,0,0,180,1,4
18,2,2,0,0,60,1,4
3,5,1,0,1,90,1,3
34,6,2,1,0,30,1,1
63,3,3,1,0,60,1,0
48,6,2,1,0,120,1,1
16,8,2,0,0,120,1,4
43,10,1,1,0,30,1,1
91,1,2,1,1,90,1,3
29,10,2,0,0,120,1,0
92,2,1,0,1,120,1,3
45,4,3,0,0,180,1,0
5,2,1,1,0,60,1,4
98,10,3,1,0,90,1,0
36,7,2,0,0,60,1,0
23,11,3,0,0,90,1,0
92,9,2,0,0,120,0,1
45,7,2,0,0,180,1,1
52,7,1,0,0,60,1,4
94,11,3,1,0,120,1,0
98,11,1,0,0,90,0,2
59,8,2,0,0,60,1,4
96,3,1,0,0,60,0,0
62,4,3,0,0,120,1,0
84,4,2,1,0,60,1,1
31,7,2,0,0,180,1,4
86,6,3,0,0,180,0,0
32,8,2,0,0,120,1,0
66,14,1,0,0,90,0,4
17,14,2,1,0,120,1,2
24,13,3,0,0,180,1,4
94,7,1,0,0,30,0,4
53,1,1,0,0,30,1,2
57,9,1,0,0,60,1,4
66,11,1,1,0,60,1,0
45,3,2,0,0,30,1,4
23,5,1,0,0,180,1,2
31,11,2,0,1,60,1,3
46,1,2,0,0,120,1,4
85,6,1,1,0,120,1,1
22,2,1,1,0,180,1,0
65,12,3,1,0,60,1,0
26,2,2,1,0,120,1,1
1,10,3,1,0,60,1,1
89,1,2,0,0,60,1,4
16,10,2,1,0,120,1,1
32,7,1,1,1,30,1,3
8,5,1,0,0,120,1,2
42,0,2,1,0,180,1,1
47,11,2,1,0,90,1,1
38,0,1,0,1,120,1,3
92,6,3,0,0,60,0,0
41,7,2,0,0,60,1,0
25,4,1,0,0,120,1,4
98,11,1,0,1,90,1,3
49,10,2,0,0,120,1,2
24,4,3,0,0,90,1,2
23,3,1,0,1,90,1,3
12,13,1,0,0,180,1,2
59,5,3,1,0,60,1,0
6,13,3,0,0,60,1,2
56,5,2,0,0,90,1,2
35,2,1,0,1,60,1,3
44,8,1,0,1,30,1,3
19,11,1,0,0,90,1,2
64,10,2,1,0,60,1,1
7,13,2,0,1,30,1,3
15,6,2,0,0,180,1,4
13,0,1,0,0,60,1,4
75,14,3,0,0,30,1,0
86,12,2,0,0,120,0,2
14,6,2,1,0,120,1,1
91,4,3,0,0,30,0,0
97,4,1,0,0,90,0,2
65,13,2,0,1,90,1,3
31,12,3,0,0,60,1,4
86,1,2,1,0,120,1,1
62,3,2,0,0,90,1,4
85,11,2,0,1,90,1,3
50,5,1,0,0,120,1,2
24,9,1,0,1,180,1,3
57,14,2,0,1,90,1,3
62,10,1,0,0,30,0,4
61,6,2,1,0,60,1,1
21,10,2,0,1,90,1,3
57,4,2,0,0,90,1,4
57,8,2,1,0,180,1,1
85,2,1,0,0,30,1,2
48,0,1,0,0,60,1,2
51,3,2,1,0,90,1,0
41,8,1,0,0,60,1,4
69,3,3,1,0,120,1,1
14,1,1,0,1,90,1,3
53,9,1,0,0,90,1,2
59,13,2,1,0,120,1,1
100,13,3,0,0,180,0,4
96,4,2,0,0,90,0,0
7,2,1,0,0,60,1,2
52,12,1,1,0,30,1,1
59,11,2,1,0,60,1,1
4,12,2,1,0,180,1,1
67,8,2,0,0,30,1,4
5,3,2,0,0,60,1,4
95,5,1,0,0,60,0,4
93,1,1,0,1,120,1,3
46,5,2,1,0,180,1,1
98,2,1,1,0,120,1,2
54,11,1,1,0,30,1,4
39,11,1,0,0,120,1,4
51,8,1,1,0,180,1,1
15,10,2,0,0,90,1,4
12,1,1,0,1,90,1,3
29,14,1,0,1,30,1,3
18,11,1,0,0,90,1,4
16,11,3,1,0,120,1,1
62,8,3,1,0,30,1,1
18,4,2,1,0,180,1,1
91,7,2,0,0,30,0,0
57,1,1,0,0,30,1,4
54,5,2,1,0,60,1,1
89,2,1,0,1,60,1,3
100,11,2,0,0,30,0,2
89,11,1,0,0,90,0,2
61,13,3,1,0,60,1,1
22,9,1,0,0,180,1,2
8,4,2,0,0,120,1,2
11,11,3,1,0,60,1,0
0,7,1,1,1,30,1,3
57,9,1,1,1,90,1,3
0,13,2,1,0,120,1,0
33,0,2,1,0,60,1,0
95,4,1,0,0,90,0,2
47,2,2,0,0,90,1,4
88,3,1,0,0,90,0,2
0,1,3,0,0,30,1,0
15,8,1,0,1,180,1,3
60,2,3,0,0,90,1,2
63,14,1,0,0,120,0,4
62,1,2,0,0,60,1,2
68,9,2,1,0,120,1,1
21,10,1,0,0,30,1,2
92,8,3,0,0,30,0,0
66,6,1,0,1,120,0,3
75,5,2,0,1,180,0,3
25,0,3,0,0,30,1,0
15,4,2,1,0,30,1,1
50,11,3,0,0,120,1,0
100,10,2,0,0,30,0,2
85,13,1,0,0,180,0,0
56,14,3,0,0,180,1,0
28,10,3,1,0,180,1,1
77,2,1,1,0,60,1,2
91,0,1,0,0,180,0,4
68,3,2,0,0,180,1,4
46,12,1,0,1,60,1,3
93,1,3,0,0,90,1,0
61,1,1,0,1,30,1,3
68,2,2,1,0,180,1,1
75,7,1,0,0,30,0,4
15,7,3,0,0,120,1,0
89,11,3,1,0,30,1,1
89,14,2,1,0,60,1,1
47,6,3,0,0,30,1,0
84,5,3,0,0,30,0,1
38,8,3,0,0,30,1,0
99,3,3,1,0,90,1,0
32,11,1,0,0,90,1,2
93,0,2,1,1,120,1,3
100,7,1,1,0,60,1,1
22,6,1,1,0,30,1,1
9,6,1,0,0,30,1,2
68,14,1,0,0,30,0,2
99,2,2,0,0,30,1,2
33,3,2,0,0,90,1,4
51,9,2,0,0,120,1,4
94,8,2,0,0,180,0,4
9,14,3,0,0,60,1,0
18,5,2,1,0,30,1,1
57,14,1,0,1,120,1,3
95,14,2,0,0,180,0,0
0,4,1,0,0,120,1,1
68,2,3,1,0,90,1,1
3,8,1,0,0,180,1,2
15,4,1,0,0,120,1,2
23,4,3,0,0,90,1,0
79,13,1,0,0,120,0,2
1,3,3,1,0,120,1,1
91,13,1,0,0,180,0,2
31,3,2,0,0,90,1,4
90,11,1,1,0,30,1,2
83,0,2,1,0,60,1,1
23,6,3,0,0,180,1,0
11,8,2,0,1,90,1,3
49,2,1,0,0,120,1,2
34,11,3,1,0,90,1,1
32,12,1,0,1,60,1,3
32,14,1,0,1,60,1,3
60,1,2,0,0,30,1,4
50,2,3,1,1,30,1,3
42,0,1,1,0,60,1,1
100,5,2,1,0,180,1,1
11,10,2,0,0,180,1,2
66,10,1,0,0,120,0,2
64,6,2,0,0,30,1,2
32,10,1,0,1,120,1,3
39,10,2,1,1,30,1,3
73,1,3,0,0,60,1,4
42,7,2,0,0,180,1,2
43,13,3,0,0,180,1,0
28,5,1,0,0,60,1,4
12,13,3,1,0,120,1,0
11,3,1,0,1,120,1,3
94,4,1,0,0,90,0,4
45,7,2,0,0,30,1,4
1,13,2,1,0,120,1,1
34,2,1,0,1,60,1,3
86,2,1,0,1,120,1,3
80,13,1,0,0,180,0,4
89,14,1,0,1,30,1,3
7,13,2,0,0,90,1,4
92,10,2,0,0,30,0,1
25,3,3,1,0,180,1,4
73,0,2,0,1,180,1,3
89,8,2,0,1,180,1,3
33,7,1,0,0,180,1,4
6,7,2,0,0,60,1,4
67,13,2,1,0,90,1,4
57,9,1,1,0,180,1,2
74,5,2,0,1,180,0,3
28,6,1,0,1,120,1,3
35,5,3,0,0,90,1,2
88,8,1,0,0,30,0,4
20,2,3,1,0,90,1,1
35,13,1,0,0,90,1,4
9,2,3,0,0,90,1,4
100,2,1,0,0,180,0,2
72,9,1,0,1,180,0,3
23,2,2,0,0,60,1,4
63,8,1,0,1,30,0,3
98,11,2,0,0,120,0,0
48,3,1,0,1,90,1,3
98,12,2,1,0,30,1,1
35,6,1,1,0,30,1,1
81,13,2,1,0,60,1,4
95,14,2,0,1,120,1,3
23,8,2,0,0,90,1,4
22,10,2,0,0,120,1,2
61,11,3,1,0,60,1,1
95,6,2,0,0,180,0,4
36,8,1,0,0,30,1,2
11,11,1,0,0,90,1,4
54,2,2,1,1,180,1,3
12,14,3,0,1,60,1,3
22,3,1,0,1,120,1,3
88,13,1,0,1,30,1,3
98,7,2,1,0,90,1,0
29,5,1,1,0,180,1,2
16,4,1,0,0,180,1,2
61,12,1,0,1,30,0,3
83,3,3,1,0,120,1,0
88,7,1,1,1,60,1,3
85,0,3,0,0,120,1,0
12,13,2,0,1,120,1,3
58,8,3,1,0,120,1,1
18,0,3,1,0,30,1,1
48,7,2,0,0,30,1,4
99,3,2,0,1,60,1,3
11,8,2,0,0,120,1,2
60,13,2,0,0,30,1,4
18,10,3,1,0,60,1,1
75,4,2,0,1,60,1,3
8,2,2,0,0,120,1,4
70,8,2,0,1,90,1,3
27,10,2,0,0,120,1,1
77,13,1,0,0,90,0,4
94,13,2,0,0,60,0,1
51,8,3,0,0,30,1,0
82,3,3,0,0,180,0,1
15,10,1,0,1,60,1,3
68,3,1,0,0,30,1,2
98,11,2,1,0,60,1,1
11,7,1,0,0,120,1,2
24,1,3,1,0,90,1,0
51,8,3,0,0,60,1,4
84,12,1,0,0,30,0,4
99,13,1,0,0,120,0,2
52,5,2,1,0,180,1,4
22,8,2,1,0,120,1,1
15,7,1,0,0,90,1,2
56,14,3,0,1,120,1,3
38,14,2,1,0,180,1,1
52,6,2,1,0,30,1,1
41,12,2,1,0,60,1,1
57,13,2,0,1,90,1,3
38,0,3,0,0,180,1,0
13,13,2,0,0,90,1,4
94,11,1,0,0,120,0,2
4,2,3,0,0,90,1,0
34,10,1,1,0,180,1,2
86,13,2,0,0,60,0,4
92,1,1,1,1,60,1,3
74,4,2,1,0,90,1,1
17,14,3,1,0,30,1,1
75,4,3,0,1,90,1,3
8,4,2,0,0,120,1,0
73,3,3,0,0,60,1,0
57,4,2,0,0,60,1,2
16,2,3,0,1,60,1,3
6,11,2,0,0,30,1,0
45,0,1,0,1,30,1,3
12,4,1,0,0,180,1,4
39,12,3,1,0,90,1,1
41,8,1,1,0,90,1,1
8,12,2,1,0,120,1,1
49,8,1,0,1,60,1,3
26,3,1,0,1,30,1,3
65,2,2,0,0,120,1,2
4,0,3,0,0,120,1,1
28,1,2,0,0,30,1,2
36,7,3,0,0,90,1,1
37,0,1,0,0,60,1,2
82,7,1,0,0,90,0,2
7,12,2,0,0,120,1,4
64,6,1,0,0,60,0,2
85,14,1,0,1,180,1,3
16,7,2,0,0,120,1,2
70,11,2,1,0,90,1,1
88,5,2,0,0,90,0,2
44,11,3,1,0,90,1,0
3,13,1,1,0,30,1,1
35,14,2,1,0,120,1,0
69,14,2,1,0,60,1,1
30,8,1,0,1,90,1,3
18,2,1,0,1,90,1,3
60,9,1,0,1,30,1,3
53,3,3,0,0,60,1,0
38,12,2,0,0,120,1,4
90,5,3,0,0,180,0,1
73,7,2,0,1,30,1,3
89,4,2,1,0,120,1,1
18,2,3,1,0,180,1,0
38,5,2,1,0,90,1,4
66,3,3,0,0,90,1,0
44,8,2,1,0,60,1,1
12,12,1,0,0,180,1,4
91,2,2,0,0,90,1,4
57,3,2,1,0,90,1,0
19,6,3,0,1,60,1,3
91,6,3,1,0,120,1,1
71,11,1,0,0,90,0,2
60,11,1,0,0,30,1,2
38,3,2,1,0,30,1,0
0,5,2,0,0,120,1,1
2,11,2,1,0,180,1,1
76,12,2,0,0,60,1,0
91,2,2,1,0,30,1,1
61,5,1,0,1,30,1,3
62,11,3,0,0,120,1,0
24,1,1,0,1,180,1,3
55,7,3,1,0,180,1,1
32,1,3,0,0,120,1,0
37,10,2,1,0,30,1,1
5,6,3,1,0,60,1,0
57,8,2,1,0,30,1,1
43,0,2,0,1,180,1,3
44,7,1,0,1,30,1,3
31,6,2,1,0,60,1,1
44,5,3,0,0,90,1,0
60,5,1,0,0,30,1,2
46,5,1,0,1,120,1,3
20,8,1,0,1,90,1,3
79,1,1,0,0,120,1,2
84,0,1,1,0,120,1,1
74,12,1,0,0,120,0,0
100,11,2,1,0,30,1,1
35,5,1,0,0,180,1,4
98,9,1,1,1,90,1,3
18,10,3,0,0,60,1,4
19,7,1,0,1,180,1,3
56,2,2,1,1,30,1,3
17,11,1,0,0,120,1,4
46,9,3,0,0,60,1,4
48,0,2,1,0,90,1,1
13,8,2,0,0,180,1,4
14,12,2,1,0,180,1,1
30,12,2,1,0,60,1,1
0,0,2,1,0,30,1,1
53,2,1,0,1,90,1,3
2,7,3,0,1,60,1,3
15,13,2,0,0,120,1,4
86,2,1,0,1,90,1,3
56,12,2,0,0,180,1,4
74,3,1,0,1,60,1,3
11,7,3,0,0,180,1,0
73,0,3,0,0,180,1,0
95,12,2,0,0,180,0,4
15,12,1,0,1,30,1,3
71,5,2,0,1,180,0,3
75,0,3,1,0,120,1,1
23,13,1,0,0,120,1,2
27,0,1,0,0,90,1,4
7,13,1,0,0,180,1,2
91,7,3,0,0,180,0,2
35,10,1,0,0,60,1,4
89,3,1,0,1,30,1,3
7,11,1,1,0,90,1,4
57,0,1,0,0,180,1,2
59,9,1,0,1,60,1,3
49,6,3,0,0,30,1,0
27,4,2,0,0,90,1,4
91,4,3,0,0,90,0,4
100,0,1,0,1,180,1,3
40,13,1,0,0,90,1,0
99,9,2,0,0,60,0,0
63,10,1,0,1,90,0,3
26,5,3,1,0,120,1,1
62,13,3,0,0,60,1,4
16,8,1,0,0,30,1,4
72,8,1,0,0,30,0,2
32,7,1,0,1,180,1,3
83,4,3,0,0,180,0,2
76,0,2,0,0,120,1,2
91,8,3,0,0,30,0,0
28,0,2,0,0,30,1,4
12,7,1,0,0,30,1,2
45,4,3,0,0,30,1,0
34,2,1,0,1,90,1,3
5,10,1,0,0,60,1,2
81,6,1,0,0,60,0,4
68,6,1,0,0,120,0,2
46,8,2,0,1,90,1,3
24,6,2,0,0,30,1,2
65,12,2,0,0,30,1,4
9,10,3,0,0,180,1,0
55,13,2,0,0,180,1,4
29,2,3,0,0,120,1,0
4,10,3,1,0,30,1,1
32,12,2,0,0,120,1,4
64,14,2,1,0,90,1,4
17,13,1,0,1,60,1,3
95,12,1,0,0,30,0,2
48,0,3,0,0,90,1,0
10,7,2,1,0,30,1,0
84,11,2,0,1,180,1,3
25,2,1,1,1,120,1,3
62,11,1,0,0,180,0,2
88,7,1,0,0,60,0,2
85,7,3,0,0,180,0,4
58,12,2,1,0,30,1,1
26,4,2,0,0,180,1,2
48,12,1,0,1,30,1,3
76,11,1,0,0,60,0,2
32,12,3,1,0,180,1,0
97,0,3,1,0,120,1,1
98,12,2,0,0,120,0,4
0,9,3,1,0,120,1,0
20,6,2,1,0,180,1,0
54,11,1,1,0,180,1,1
5,9,3,0,0,180,1,4
91,4,1,0,1,30,1,3
80,7,2,0,0,60,1,4
68,8,2,0,0,120,1,2
94,10,2,0,0,30,0,0
4,13,2,0,0,120,1,2
2,6,1,0,1,30,1,3
52,13,1,0,0,180,1,2
22,12,1,0,0,120,1,4
100,14,2,0,0,180,0,2
52,6,1,0,1,120,1,3
36,0,2,0,1,90,1,3
73,14,3,0,1,30,1,3
73,3,2,0,0,90,1,4
82,1,1,0,1,30,1,3
16,1,3,0,0,60,1,0
84,1,1,0,1,120,1,3
77,3,1,1,0,60,1,2
72,13,2,0,0,60,1,2
0,0,3,0,0,30,1,2
50,14,3,0,0,90,1,4
44,3,2,0,0,180,1,2
76,1,3,0,0,30,1,4
3,4,2,0,0,180,1,4
61,2,2,0,1,60,1,3
64,14,3,0,0,180,1,0
31,11,1,0,1,90,1,3
33,7,3,0,1,30,1,3
91,3,2,0,0,90,0,4
94,0,2,0,0,90,1,4
71,0,2,0,0,30,1,2
38,11,3,0,0,90,1,2
25,9,1,0,1,120,1,3
33,2,3,1,0,120,1,1
53,14,2,1,0,120,1,1
2,8,1,0,0,180,1,2
49,6,3,1,0,90,1,1
11,1,1,0,0,30,1,2
64,14,2,0,0,30,1,4
53,12,1,0,1,180,1,3
4,8,3,1,0,30,1,0
93,9,2,0,1,120,1,3
93,1,1,0,0,90,1,2
